Gomez-Aldapa, C. A. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Effect of equilibrium moisture content on barrier, mechanical and thermal properties of chitosan films","Yaneli Aguirre-Loredo, Rocio; Ines Rodriguez-Hernandez, Adriana; Morales-Sanchez, Eduardo; Alberto Gomez-Aldapa, Carlos; Velazquez, Gonzalo","","","","FOOD CHEMISTRY","APR 1 2016","2016","196","","","","","560","566","","10.1016/j.foodchem.2015.09.065","","","124","13.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","9","11","27","26","21","15","9"
"Effect of polyvinyl alcohol on the physicochemical properties of biodegradable starch films","Alberto Gomez-Aldapa, Carlos; Velazquez, Gonzalo; Gutierrez, Miguel C.; Rangel-Vargas, Esmeralda; Castro-Rosas, Javier; Yaneli Aguirre-Loredo, Rocio","","","","MATERIALS CHEMISTRY AND PHYSICS","JAN 1 2020","2020","239","","","","","","","122027","10.1016/j.matchemphys.2019.122027","","","113","22.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","27","27","20","25"
"Presence of faecal coliforms, <i>Escherichia coli</i> and diarrheagenic <i>E</i>. <i>coli</i> pathotypes in ready-to-eat salads, from an area where crops are irrigated with untreated sewage water","Castro-Rosas, Javier; Cerna-Cortes, Jorge F.; Mendez-Reyes, Eligio; Lopez-Hernandez, Daniel; Gomez-Aldapa, Carlos A.; Estrada-Garcia, Teresa","","","","INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY","MAY 15 2012","2012","156","2","","","","176","180","","10.1016/j.ijfoodmicro.2012.03.025","","","108","8.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","17","9","9","9","11","11","6","5","9","9","4","7"
"Recent advances in microencapsulation of natural sources of antimicrobial compounds used in food - A review","Castro-Rosas, Javier; Ferreira-Grosso, Carlos Raimundo; Alberto Gomez-Aldapa, Carlos; Rangel-Vargas, Esmeralda; Luisa Rodriguez-Marin, Maria; Araceli Guzman-Ortiz, Fabiola; Nallely Falfan-Cortes, Reyna","","","","FOOD RESEARCH INTERNATIONAL","DEC 2017","2017","102","","","","","575","587","","10.1016/j.foodres.2017.09.054","","","96","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","12","16","25","22","10","5"
"Organic Acids from Roselle (<i>Hibiscus sabdariffa</i> L.)-A Brief Review of Its Pharmacological Effects","Izquierdo-Vega, Jeannett A.; Arteaga-Badillo, Diego A.; Sanchez-Gutierrez, Manuel; Morales-Gonzalez, Jose A.; Vargas-Mendoza, Nancy; Gomez-Aldapa, Carlos A.; Castro-Rosas, Javier; Delgado-Olivares, Luis; Madrigal-Bujaidar, Eduardo; Madrigal-Santillan, Eduardo","","","","BIOMEDICINES","MAY 2020","2020","8","5","","","","","","100","10.3390/biomedicines8050100","","","71","14.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","19","18","23"
"Enzyme activity during germination of different cereals: A review","Araceli Guzman-Ortiz, Fabiola; Castro-Rosas, Javier; Alberto Gomez-Aldapa, Carlos; Mora-Escobedo, Rosalva; Rojas-Leon, Adriana; Luisa Rodriguez-Marin, Maria; Nallely Falfan-Cortes, Reyna; Delia Roman-Gutierrez, Alma","","","","FOOD REVIEWS INTERNATIONAL","APR 3 2019","2019","35","3","","","","177","200","","10.1080/87559129.2018.1514623","","","70","11.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","15","16","15","17"
"Effect of acid hydrolysis and OSA esterification of waxy cassava starch on emulsifying properties in Pickering-type emulsions","Fonseca-Florido, H. A.; Vazquez-Garcia, H. G.; Mendez-Montealvo, G.; Basilio-Cortes, U. A.; Navarro-Cortes, R.; Rodriguez-Marin, M. L.; Castro-Rosas, J.; Gomez-Aldapa, C. A.","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","MAY 2018","2018","91","","","","","258","264","","10.1016/j.lwt.2018.01.057","","","54","7.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","13","6","10","10","6"
"Enzymatic inactivation and antioxidant properties of blackberry juice after thermoultrasound: Optimization using response surface methodology","Cervantes-Elizarraras, Alicia; Piloni-Martini, Javier; Ramirez-Moreno, Esther; Alanis-Garcia, Ernesto; Guemes-Vera, Norma; Alberto Gomez-Aldapa, Carlos; Yadira Zafra-Rojas, Quinatzin; del Socorro Cruz-Cansino, Nelly","","","","ULTRASONICS SONOCHEMISTRY","JAN 2017","2017","34","","","","","371","379","","10.1016/j.ultsonch.2016.06.009","","","54","6.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","8","5","7","8","5","13","4"
"Effect of the alkaline and acid treatments on the physicochemical properties of corn starch","Palacios-Fonseca, A. J.; Castro-Rosas, J.; Gomez-Aldapa, C. A.; Tovar-Benitez, T.; Millan-Malo, B. M.; del Real, A.; Rodriguez-Garcia, M. E.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","67","74","","10.1080/19476337.2012.761651","","","53","4.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","2","4","4","10","9","13","5"
"Incidence of <i>Salmonella</i>, <i>Listeria monocytogenes</i>, <i>Escherichia coli</i> O157:H7, and Staphylococcal Enterotoxin in Two Types of Mexican Fresh Cheeses","Torres-Vitela, M. R.; Mendoza-Bernardo, M.; Castro-Rosas, J.; Gomez-Aldapa, C. A.; Garay-Martinez, L. E.; Navarro-Hidalgo, V.; Villarruel-Lopez, A.","","","","JOURNAL OF FOOD PROTECTION","JAN 2012","2012","75","1","","","","79","84","","10.4315/0362-028X.JFP-11-258","","","48","3.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","3","6","1","3","8","2","7","3","4","2"
